Job Title,Company Name,Job Location,Easy Apply,Job Link,Insight 1,Insight 2,Insight 3,Responsibilities,Qualifications,Benefits,Job Summary
Data Analyst (Freelance),N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4188120072/?eBP=CwEAAAGWFrRb3vwtNK570u7HerKHGrbYlxu-ZljaJ1vrl-p9lHALDDt-_nQHRTfl7LUPKyuSu5NZ16kv0vc8IovPwXZhTAmmlijCyLeNCITR7XP3AwE2r6DSTUj25FhxOkLjSfkhiXlm4l7J9fha5qnYZ4nujwhrnkfKBG2LbbquQwirLzO7yYrrklaJLuazO3Q4asegtzsyAYN-8lw1p-_sw5eExp4iRdgAaCqRUj-QX6luwl1bSsFBcxJfxnVSbgJNnXD48tdl01wb20vX5H1B_a-sqVOmOcHp5SkYBK36vBeGFbsyVwU2OZvfDZD-ZHLw8RBDIBxFw7Ad6_FFFcKoEsicTdBOI5ffc6WorPO3mNcFtwrd_bJmkl2PASiCR0cUrczAd8GRc056ihJVb0PBKdLmJtq5A8nduHdblgDHM_w2LTHsyl5wHzfOALa6HAbRWCWA_3pHeUgESgQURjHqrIeftzKy9zKVKr0dQ4o7ydv2D6iMxFCJTFW636Om3-d5DtvUmA&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=MHlmcq5fzd9vfqu2xYRSoA%3D%3D&trk=flagship3_search_srp_jobs,Remote,Contract,Entry level,"Data Annotation & Labeling: Carefully review and categorize data points (e.g., text segments, images, audio) following detailed instructions.
Quality Assurance: Identify errors, inconsistencies, or inaccuracies in datasets and ensure that final outputs meet the required standards.
Compliance with Guidelines: Apply the project’s specific rules, labeling criteria, and stylistic requirements to maintain a high level of data integrity.
Efficient Task Execution: Complete assigned tasks promptly and consistently meet productivity and quality benchmarks.
Continuous Improvement: Adapt to updated guidelines, feedback, and new requirements, continuously enhancing the accuracy and relevance of your work.","Attention to Detail: Strong observational skills and the ability to adhere to strict data evaluation criteria.
Analytical Thinking: Capability to interpret guidelines, recognize patterns, and detect nuances in complex data.
Language Proficiency: Good command of English to understand instructions, communicate effectively, and handle language-based data tasks.
Technical Savvy: Comfortable working with online platforms, tools, or software systems used for data annotation and assessment.
Time Management: Ability to work independently, prioritize tasks, and meet deadlines in a flexible, freelance environment.","Flexible Work Environment: As a freelance Data Assessor, you have the freedom to work remotely and set your own schedule.
Skill Development: Enhance your analytical, linguistic, and technical skills by working on a wide variety of data projects.
Growth Opportunities: Potential for ongoing work as you demonstrate quality output, responsiveness to feedback, and adaptability to evolving project needs.","About the job
            
 

As a Data Analyst (Assessor), you will play a critical role in improving the quality and reliability of data used to train and refine AI models. You’ll work as a freelance contributor, reviewing, annotating, and validating diverse datasets—such as text, images, and other types of content—according to predefined guidelines and quality standards.Key Responsibilities: Da"
BI & Reporting Specialist,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4204227781/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=rhCzUCA13QcijUS0runLaw%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Mid-Senior level,"Support in conducting BI requirement gathering sessions with the clients and developing BI requirements document from business requirement meetings.
Define the BI Standards, reporting guidelines for the clients including socialization of the same in collaboration with Data Strategy and Governance team.
Design and develop reports using advanced reporting tool (e.g., Power BI).
Provide support to business in developing their own dashboards through self-service
Develop data extraction and output specifications for reports based on the requirement document.
Identify appropriate data sources, retrieve the data and ensures data integrity when pulling information into reports and dashboards.
Support in establishing proper design and code guidelines for the development of business intelligence reports.
Assist in developing report subscriptions and methods for report distribution based on agreed timelines and according to report specifications.
Assist in testing of advanced reports and dashboards.
Develop the visualizations of the use case outcomes as well as UX/UI design required, front-end development for advanced visualizations.","Bachelor's degree in Computer Science or related field.
4-7 years of experience in BI.
Testing experience in an agile environment is preferred.
Good knowledge of BI technologies and platforms (e.g., Power BI, Tableau, etc.)
ETL experience with multiple data sources.",N/A,"About the job
            
 

Role Summary:Protiviti Global Business Consulting is looking for a BI & Reporting Specialist who will be responsible for setting standards, developing, deploying, and maintaining BI reports and dashboards enabling our clients to derive insights and deliver on their mandate.Key Responsibilities  Support in conducting BI requirement gathering sessions with the clients a"
Senior Data Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4186846661/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=4o7zH0Nb9xg6Wu2KE4zuKQ%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Mid-Senior level,"Develop and maintain data models, databases, and reporting systems to support data analysis and reporting needs
Create and maintain dashboards and reports to provide real-time insights to business stakeholders
Collaborate with the internal teams to understand their data needs and provide data-driven solutions
Play an important role in the data warehouse transition by creating dashboards and helping in the transition of information
Collaborate closely with the Data Engineer to ensure seamless data warehouse operations and transitions, including data integration, migration, and optimization
Conduct comprehensive data analysis using SQL and data visualization tools (Power BI) to uncover trends and insights
Analyze and interpret complex data sets to identify trends, patterns, and insights that can inform business decisions
Ensure data quality and integrity by implementing data validation and cleansing processes","Minimum 5 years' experience in data analysis, data modeling, or a similar role, preferably in or on behalf of an investment or financial company
Data Analysis certification. Bachelor's or higher in Data Science, Computer Science/Engineering, Information Systems, or a related field will be preferred but not necessary. Strong candidates may also have the Microsoft Data Analyst Certification
Excellent communication and collaboration abilities, with fluency in English
Expertise in dashboarding/reporting with PowerBI,, as well as programming/scripting languages including SQL, Python, or similar
Familiarity with emerging AI capabilities and how these could be applied to organizational processes and data for efficiencies and insights will be a plus
Exceptional analytical, problem-solving, and critical thinking skills",N/A,"About the job
            
 

A well-established Swiss-originated private equity and venture capital firm based in Geneva, with a diverse investment portfolio that includes secondaries, buyouts, and ventures. The firm boasts a global footprint and an extensive network across key markets, with offices in major financial centers such as Geneva, New York, London, and Cairo. The team comprises over 40"
Data Scientist,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4128238250/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=S21uxeJzitMIGiYdh3Qe0g%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Mid-Senior level,"Ensure appropriate tracking is in place across all marketing activity
Research the Egyptian market and other markets including competitor analysis along with market trends
Defines and measures the effectiveness and performance of marketing programs and strategies in conjunction with Marketing
Identify, analyze, and interpret trends or patterns in complex data sets
Interpret data, analyze results using statistical techniques and provide ongoing reports
Convert complex data and findings into understandable tables, graphs, and written reports
Carry out qualitative and quantitative research and analysis
Analyze company data to discover past trends and identify correlations
Monitor and forecast marketing and sales trends
Develop solutions that bring critical insights to a wide range of different problems such as targeting customers and segmenting markets
Works to build a performance marketing engine across tracking, attribution, automation and optimization
Collaborate with agile squads to improve data infrastructure and contribute to a seamless research platform
Track KPIs and define measures for action","Bachelor's degree in data science, business, economic, mathematics, statistics, or equivalent
Minimum of 5-7 years of experience manipulating data sets and building statistical models
Experience using statistical computer languages (Python, SQL, etc.) to manipulate data and draw insights from large data sets
Experience working with and creating data architectures
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Excellent written and verbal communication skills for coordinating across teams
Strong quantitative and analytical skills and aptitude, and an ability to work with significant amounts of data, both numerical and qualitative
Proven track record in a multi-disciplinary Digital/Tech environment
Understanding the evolving Digital/Tech marketplace and how those opportunities and changes fit within the banking environment
Driven to identify and implement continuous improvement
Awareness and understanding of agile methodologies and lean principles
Excellent written/verbal communication and presentation skills
Excellent Project Management skills",N/A,"About the job
            
 

Supports the marketing team in defining how digital performance is measured through conducting, analyzing and measuring performance of digital marketing campaigns by monitoring marketing and sales trends.Key Responsibilities & Accountabilities: Ensure appropriate tracking is in place across all marketing activityResearch the Egyptian market and other markets including"
Senior BI Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4088686855/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=BtFtOF4czK1WsAuXq69aCw%3D%3D&trk=flagship3_search_srp_jobs,Hybrid,Full-time,Mid-Senior level,N/A,"Lead the design, development, and optimization of advanced dashboards and reports using Power BI and Tableau
Develop and manage scalable, efficient data pipelines and ETL processes
Write and optimize complex PL/SQL queries to extract and manipulate large datasets
Collaborate with stakeholders to gather requirements, provide strategic recommendations, and ensure BI solutions align with business goals
Mentor junior BI developers and provide guidance on best practices for data visualization and analysis
Troubleshoot and resolve advanced issues in data models, reports, and visualization tools
Ensure the integrity, accuracy, and security of BI solutions and data systems",N/A,"About the job
            
 

Advansys is a dynamic solutions provider focused on delivering smart, modular, and sustainable technology solutions that enhance operations, improve customer experiences, and drive business modernization. With over 400 skilled engineers, we serve 100+ enterprise customers across 14 countries. Specialized in a wide array of premium services including Business Automatio"
Junior Data Scientist,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4203240358/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=ptz3lpg4C9mhuDWAbod89g%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Entry level,· Work with stakeholders throughout the organization to leverage data and analytics in driving business growth and answering business question.,"· Bachelor's degree or equivalent in Computer Science , Computer Engineering or relevant fields.",N/A,"About the job
            
 

Key Responsibilities:· Work with stakeholders throughout the organization to leverage data and analytics in driving business growth and answering business question.· Liaise with data engineering , Product , and business stakeholders to asses the requirements and quality of current and new data sources.· Develop extensive descriptive and statistical analysis of various"
Data Analytics - Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4177527237/?eBP=CwEAAAGWFrRb3sNkzeOmsFTCg1geX_URYv27lshNVRfGJqpShDMUY0k3vmNAH4eT9hCc2D1ETzXsMC7PuYZh21olVHH1Ky5rB08XavmydJ1iyKJwUPhKeRfeWRtVJcOnhdIe0t9YNuf43qS8FOQCju1T2hq3O58cN0awVkRB6puByN4Ssv3N3cMzqnH-HvYatZr501s3MUfwo0prSai1ns626ubeRrHT9LXNjO-ks15sdnEuI38QahHAcfgL6lv9veVQUxOROPS8rOsVGUZzmboqBYqHGfrmQMMolY7OTgvnn0kO3K3W8FuvLmswnRezwwTcPQGLwYIg6rZeq77iCp_p0tLzRk9cI5Rz4V4lM_XwrznRS8jyE91IaiPnYv9G93FGyK_X6p-3ow-KedrJ3aMeVp8_3O0MhzJrdM2hfaJd7BnHLbCey534CNmypsPbETWDRA602Wt3nIWuKhTBQ0Jv1SBC4x_7vDN3fwzdaBjhWduvaf7oyIX2hqVu3dV-RIdVEjb75egs0GM9Yg&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=MR2SdnSe7cSEKJmIGibEiA%3D%3D&trk=flagship3_search_srp_jobs,Hybrid,Full-time,Entry level,"Data Analytics & Modeling: Develop and optimize data models using dimensional modeling techniques to support analytics-driven decision-making.
Data Pipeline Development & Automation: Support the design, implementation, and automation of data pipelines for efficient data extraction, transformation, and loading (ETL/ELT) processes.
Dashboard Development: Design and develop interactive data visualizations and dashboards using business intelligence tools.
Collaboration & Client Engagement: Work with stakeholders to gather business requirements and translate them into technical analytics solutions.
Digital Transformation Support: Assist in identifying and implementing data-driven solutions to improve business operations.
Project Involvement: Support the end-to-end implementation cycle, including requirements gathering, testing, and deployment.","0-1 years of experience in Data Analytics, Business Intelligence, or related fields.
Strong SQL skills and a good understanding of dimensional modeling.
Experience with data visualization tools such as Tableau, Power BI, SAP Analytics Cloud or similar platforms.
Familiarity with data pipeline development, automation, and optimization.
Very good command of English (mandatory).
Strong communication and presentation skills (mandatory).
Ability to work in a fast-paced, innovative environment with a learning mindset.",N/A,"About the job
            
 

About the RoleAt SDG Group, we are dedicated to helping organizations achieve digital transformation through Data Analytics, AI, and Performance Management solutions. We enable businesses to foster a data-driven culture, making informed decisions through innovative analytics capabilities.We are looking for a Data Analytics - Analyst to join our team. This is a great o"
Data Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4182750912/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=Yg8uLEWTQwa0plKNSnp1og%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Entry level,"Work out of business/growth/commercial teams
Identifying the problem, and structuring it to deliver the desired outcomes independently
Build, develop and maintain data models, reporting systems, dashboards and performance metrics
Manage and optimize processes for data intake, validation as well as modeling, visualization and communication outputs
Interpret and report results for various growth aspects (Merchandising, Marketing etc.) and to relevant stakeholders
Further capabilities of the company’s analytical and forecasting tools to meet users’ needs and enhance decision-making
Develop/maintain dashboards and visualizations to expose data to stakeholders and support in decision making
Suggest and implement new KPIs to align with evolving business goals and improve performance tracking
Increase reporting efficiency by streamlining workflows and automating repetitive tasks","Hands-on experience in SQL/BigQuery + any programming language, Python is preferred but not mandatory
Excellent analytical skills and problem-solving capabilities
Advanced Excel/Google Sheets knowledge
Experience in the e-commerce industry is preferred but not mandatory",N/A,"About the job
            
 

Who are we?noon.com is a technology leader with a simple mission: to be the best place to buy and sell things. In doing this we hope to accelerate the digital economy of the Middle East, empowering regional talent and businesses to meet the full range of consumers' online needs. noon operates without boundaries; we are aggressively and voraciously ambitious. Starting "
Product Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4170165401/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=RIRLXjnc4Pb1xq9f6I1Rkg%3D%3D&trk=flagship3_search_srp_jobs,Remote,Full-time,Entry level,"Analyze product performance metrics, identifying trends, patterns, and areas for improvement
Gather and interpret customer feedback and survey data to understand user needs and preferences
Collaborate with product managers and stakeholders to define key performance indicators (KPIs) and report on their status
Support the development and execution of A/B tests to evaluate new product features
Create detailed product and feature documentation to support internal teams
Monitor competitive landscape and industry trends to inform product strategy
Utilize data visualization tools to present insights and findings to the product team and stakeholders
Assist in identifying and prioritizing product enhancement requests based on user feedback and data analysis
Work closely with engineering, marketing, and sales teams to ensure alignment on product goals and performance","Bachelor's degree in a related field (Business, Analytics, Computer Science) or equivalent work experience
2+ years of experience in product analysis, business analysis, or a similar role
Strong analytical skills, with a data-driven mindset and proficiency in SQL
Experience with product analytics tools (e.g., Google Analytics, Mixpanel, Amplitude) and A/B testing frameworks
Familiarity with data visualization tools such as Tableau, Power BI, or Metabase
Excellent communication skills with the ability to convey complex concepts to non-technical stakeholders
Strong attention to detail and the ability to manage multiple projects simultaneously
Passion for technology and understanding of the product development lifecycle","Competitive entry to mid-level salary based on experience
Paid holidays
Flexible working hours with potential remote work options
Opportunity to grow within a high-energy, innovative start-up
Engaging start-up culture with a focus on teamwork and continuous improvement
Wellness programs and team-building activities","About the job
            
 

DrBalcony is on the lookout for a dedicated Product Analyst to join our dynamic team. As a Product Analyst, you will be responsible for using data to analyze product performance, provide insights into customer behavior, and help shape the product strategy. Your analytical skills will play a key role in understanding how our products meet customer needs and driving imp"
Data Business Analysis Specialist/ Analyst/ Senior Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4135109464/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=Yyr1WUeXLvxofZv1v9r75g%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Mid-Senior level,"Receive new requirements and translate the Data Business Requirements to Technical Solution through conducting the data engagement with business
Undertakes the technical Solution Design and support the Product Owners throughout the whole process
Effectively use the Data Warehouse Tools in fulfilling the Bank's different needs to provide successful and operational solutions
Ensure all changes and activities are documented accurately and maintained throughout the implementation phases
Ensure data is handled ethically and all processes are undertaken in compliance with company policy, internal controls, data protection legislation and relevant national / industry standards
Identify opportunities through which to deliver process efficiency / improvement and develop business proposals through which to communicate and deliver the change","Receive new requirements and translate the Data Business Requirements to Technical Solution through conducting the data engagement with business
Undertakes the technical Solution Design and support the Product Owners throughout the whole process
Effectively use the Data Warehouse Tools in fulfilling the Bank's different needs to provide successful and operational solutions
Ensure all changes and activities are documented accurately and maintained throughout the implementation phases
Ensure data is handled ethically and all processes are undertaken in compliance with company policy, internal controls, data protection legislation and relevant national / industry standards
Identify opportunities through which to deliver process efficiency / improvement and develop business proposals through which to communicate and deliver the change",N/A,"About the job
            
 

Role DescriptionIs responsible for the Design of Data Strategy solutions that meet the needs of the organization and can be involved also in planning the delivery of the designed solutions in cooperation with the product owners.RequirementsCore Responsibilities Receive new requirements and translate the Data Business Requirements to Technical Solution through conducti"
Data Scientist,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4189558490/?eBP=CwEAAAGWFrRb3s84sk4-YF3huf6eLJ8TkcQqLNX-WtFEZm77TfvBAtV9F132pVguIQXkU0zdYotEkpuEetdiMu9phOV2n8iBmtHPoHkB0l8iMe2YWnYSSfh7BWZYNgexecSo60PHiQCkderblzHahyrY7gJ2Nmn1WdK5h3LqVM7c5MAfjQaPgx9Rt2msw9DfYyMpaH9kaonuUYFTJQtNVZ4Uj4paDSBi_25QfKynKP9gmO3GGYyp_PUTZ1vDMzoRYe0evzaTk3VYJMNUvRNbEdQLunj9tCd7hzrfNPzpdsgqbISDIzou2TDK-FP-baSCRFZG4AcNUM9fJr45UoCoCxE4W-Kps0Dxme2hWaP9nob5Elzai44e1gNwmdhCO2BN8R-Iq9jLtkCYjaVv93yfAk2z84-X05gd1o8qZEbMZP4ExooQu4-hk21iY0x0yHRAWwThBpAVkocCC5jZu8PfQSVPzjjryvEgLjKeHuGmx41P0_4RxSL53WquCoLwcA-nmvlDaGsYHkNjrmTxYw&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=%2F3BQ7jju11juLLwOfKIfVw%3D%3D&trk=flagship3_search_srp_jobs,Hybrid,Full-time,Associate,"Design, development, and evaluation of highly innovative models for predictive learning.
Work on implementing new ideas in recent papers and convert it into ML/DL models on the production level.
Establish scalable, efficient, automated processes for large-scale data analyses, model development, model validation, and model implementation.","Degree in a quantitative field (Computer Science, Mathematics, Machine Learning, AI, Statistics, or equivalent).
Great design and problem-solving skills, passion for quality and engineering excellence at scale.
Extensive experience with Python and software engineering fundamentals.
Deep understanding of machine learning frameworks (Tensorflow and Keras, Pytorch is a plus).
Extensive knowledge and practical experience in NLP and Computer vision.
High familiarity in using state of the art DL architectures like transformers, Vision Transformers.
At least 3+ years of hands-on experience in applying theoretical models in an applied environment.
Work well in a fast-moving team environment and effectively deliver technical. implementations having complex dependencies and requirements.
Exemplary communication skills, ability to work with large cross-functional teams of technical and non-technical members.
Experience launching productionized machine learning models at scale.
Advanced knowledge of the state of the art DL models (transformers, GPT models, etc) and experience in training foundation NLP models.",N/A,"About the job
            
 

About the job We are looking for a mid-senior data scientist with 2-4 years of experience. The Data Scientist will be part of the Proven Solution Data Science team, and will be working on NLP/Computer Vision and OCR tasks. Major Responsibilities  Design, development, and evaluation of highly innovative models for predictive learning.Work on implementing new ideas in r"
