Job Title,Company Name,Job Location,Easy Apply,Job Link,Insight 1,Insight 2,Insight 3,Responsibilities,Qualifications,Benefits,Job Summary
Data Scientist,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4192466059/?eBP=CwEAAAGWFrRb3irGN1RFhste1ivAy0t_kYLkPW7FLi7xFrL2U1gZ2NleA4fSiJcn4lsH9OA7ydn0oUpJCD0CU6rghGvO5kNg1OzYuvXSNMGl9dYDAn-mDfeJSnOPqJZzzjKypDtjt1ubiau3xr32MhVPqz9FCCXWuN7d0GsH46XJIlsLkxRVx9BZvpUsv1qafqXoafjDRrLPjGqkRDdSSkQvgD9oZ9zgeRXfCXwuqcG1g3z_F6rn6fy18oVCdGBMJBp7glpQqHJjBr-86pAe1tI_uYM4ynyffKf_0aXYepIu2ZXYAEzbiLGi4lWwfS5jhwGnNcoNbrM0HqTE5YIYR0MrLCDD9gQw3IQruWN3603vObbjIUyzZdKWi4XIaQVv0EnpOD2MQBiiXbanS-Bqxi-k_EFtEyj1TgwlKnhoPc_kI8-efzNHfZ41DK5n8p8KOfca1jHSfjWIJYMyYvVypXj8xXixeZ5ar7NVMobcjtAjXCE6fSqtekc74xJMaYGeydjpTXuxoeICDOQ&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=NFOfxKjQNj88PRB9iASm%2BQ%3D%3D&trk=flagship3_search_srp_jobs,Hybrid,Full-time,N/A,"build algorithms and design experiments to merge, manage, interrogate and extract data to supply tailored reports to customers
use machine learning tools and statistical techniques to produce solutions to problems
test data mining models to select the most appropriate ones for use on a project
maintain clear and coherent communication, both verbal and written, to understand data needs and report results
create clear reports that tell compelling stories about how customers or clients work with the business
assess the effectiveness of data sources and data-gathering techniques and improve data collection methods
horizon scan to stay up to date with the latest technology, techniques, and methods
conduct research from which you'll develop prototypes and proof of concepts
look for opportunities to use insights/datasets/code/models across other functions in the Etisalat
stay curious and enthusiastic about using algorithms to solve problems and enthuse others to see the benefit of your work.",N/A,N/A,"About the job
            
 

About e& global servicesIt’s one of Etisalat affiliates that offers business process outsourcing services. With Our highly skilled team, cutting-edge technology, and a decade of expertise in empowering business growth, we enable you to optimize operations and enhance customer experiences. e& global services in Egypt cater excellence to your ever-changing lifestyle and"
Data Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4007362260/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=kH4P6n67KcVHSQpetdngQg%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Associate,N/A,"2 years of experience in data analysis
Proven track record of developing and implementing successful supply chain strategies and driving operational excellence
Strong analytical and problem-solving skills, with the ability to identify and resolve complex supply chain issues
Excellent communication, negotiation, and relationship-building skills",N/A,"About the job
            
 

 Collecting, auditing and analyzing field data, and providing preliminary statistics showing deviations, completion rates, strengths and weaknessesProtect and store data properly. Including all farms departmentsPreparing monthly reports by creating a smart board for each department according to its tasks and the nature of its workPreparing presentations for technical "
Data Scientist,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4188790981/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=YCi%2BBmAJdGu0QwOgB9fxDg%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Entry level,"Analyze large datasets to identify trends, patterns, and insights that can inform business strategies
Develop and implement predictive models and machine learning algorithms to solve complex business problems
Collaborate with cross-functional teams to understand data requirements and provide analytical solutions that meet business needs
Design and conduct experiments to test hypotheses and validate results
Communicate findings and recommendations to stakeholders through presentations and reports
Continuously monitor and improve model performance through regular updates and refinements
Stay updated with the latest advancements in data science, machine learning, and AI technologies to apply best practices in your work
Build and maintain data pipelines to ensure the availability of data for analysis and reporting
Work with data engineering teams to ensure data is collected and stored effectively for analysis","Bachelor's or Master's degree in Data Science, Computer Science, Statistics, Mathematics, or a related field
Proven experience as a Data Scientist or in a similar analytical role
Strong programming skills in Python, R, or similar languages
Proficiency in SQL and experience with relational and non-relational databases
Experience with machine learning libraries and frameworks (e.g., Scikit-learn, TensorFlow, Keras)
Knowledge of data visualization tools (e.g., Tableau, Power BI, matplotlib, seaborn) for communicating results
Understanding of statistical concepts and methodologies, and experience applying them to real-world scenarios
Excellent analytical and problem-solving skills
Strong communication skills, both verbal and written, in English and Arabic",N/A,"About the job
            
 

SWATX is looking for a talented and driven Data Scientist to join our dynamic team. In this role, you will leverage your expertise in data analysis, machine learning, and statistical modeling to extract insights from complex datasets and drive data-driven decision making within the organization. You will work closely with business stakeholders to identify opportunitie"
Data Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4081268784/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=xjA6uDQ1gXiLPHS4iH1rxg%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Associate,"Collect, clean, and analyze data from various marketing channels
Generate regular and ad hoc reports to track campaign performance and key marketing metrics
Provide actionable insights and recommendations based on data analysis to improve marketing strategies and optimize budgets
Develop and maintain dashboards to track the effectiveness of marketing campaigns and channel performance
Analyze customer journey data to understand user behaviour and optimize touchpoints
Monitor key performance indicators (KPIs) and identify trends, patterns, and opportunities for growth
Work closely with cross-functional teams, including performance marketing, content, and product, to support data-driven decision-making
Present findings and data insights to stakeholders in a clear, actionable manner
Collaborate with the marketing team to develop and test hypotheses for campaign improvements
Provide insights into target audience segmentation, customer lifetime value, and attribution models
Ensure data accuracy by performing quality checks and maintaining clean and organized datasets
Identify and troubleshoot data inconsistencies and collaborate with the tech team to improve data quality","Collect, clean, and analyze data from various marketing channels
Generate regular and ad hoc reports to track campaign performance and key marketing metrics
Provide actionable insights and recommendations based on data analysis to improve marketing strategies and optimize budgets
Develop and maintain dashboards to track the effectiveness of marketing campaigns and channel performance
Analyze customer journey data to understand user behaviour and optimize touchpoints
Monitor key performance indicators (KPIs) and identify trends, patterns, and opportunities for growth
Work closely with cross-functional teams, including performance marketing, content, and product, to support data-driven decision-making
Present findings and data insights to stakeholders in a clear, actionable manner
Collaborate with the marketing team to develop and test hypotheses for campaign improvements
Provide insights into target audience segmentation, customer lifetime value, and attribution models
Ensure data accuracy by performing quality checks and maintaining clean and organized datasets
Identify and troubleshoot data inconsistencies and collaborate with the tech team to improve data quality",N/A,"About the job
            
 

We are seeking a detail-oriented and analytical Data Analyst to join our Growth team.This role will be critical in helping us understand and optimize our growth efforts by gathering, analyzing, and interpreting data. The ideal candidate will have a strong background in data analytics, experience with digital marketing metrics, and the ability to translate data into ac"
Senior Data Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4121062041/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=UgnH56rwS%2BDCXyIwi05xkg%3D%3D&trk=flagship3_search_srp_jobs,N/A,N/A,N/A,N/A,N/A,N/A,"About the job
            
 

Job DescriptionUnlock Your Potential with FlyPie Ltd!At FlyPie Ltd, we’re transforming data into powerful insights to drive sales success. We’re looking for a talented Senior Data Analyst to join our dynamic team in Nasr City, Cairo. If you're passionate about data, enjoy optimizing processes, and love turning insights into action, this opportunity is for you!📍 Locati"
Data Scientist,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/3888114087/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=pHntjLfFn6EAbEc%2BFitFSw%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Mid-Senior level,N/A,"Bachelor's degree in Computer Science, Information Systems, or other related technical field or equivalent work
Proven experience as a Data Scientist or similar role, with at least 3 years of experience in a same role
Strong technical skills in data analysis, machine learning, and statistical modeling, with proficiency in Python, R, or other programming languages
Experience with machine learning libraries and frameworks such as scikit-learn, TensorFlow, or PyTorch
Solid understanding of data science concepts and techniques, including supervised and unsupervised learning, classification, regression, clustering, and time series analysis
Proven track record of delivering data-driven solutions that have positively impacted business outcomes
Excellent problem-solving skills and attention to detail, with the ability to think critically and analytically
The ability and willingness to learn new technologies on the job
Self driven, highly motivated, fast learner, ambitious and creative",N/A,"About the job
            
 

As a Data Scientist at Nawy, you will play a key role in leveraging data science techniques and machine learning algorithms to solve complex business problems and drive strategic decision-making. You will work closely with cross-functional teams to identify opportunities for data-driven solutions, develop predictive models and algorithms, and deliver actionable insigh"
Corporate Senior Data Scientist,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4201999831/?eBP=CwEAAAGWFrRb3v40DZ7lCEyRxId7OO9IEyucdzRD1QPz1BnQbQUdvrTjhe82fwUCxQoyzvNehqOEa1drhqeMuha8NKw_VE9BjLmzdShQRAbxwP7iS0Ik1eXlbBzn_4biifuojgL2R6VNnQ3FepKV6BBi_8OgAChrlF6f0k9UFdalN5IkBtJ-5lfKGq-X66NWQK9PJNV_k-e38q_XgP1hz2IRqzAa61I0vbXPS4MvQ8YSTxDlKjnFXdLK9ZJou4DlQZcFmlCyT7ww5njvzrR5EkGXj-rDH0sALcXyrFSWMUkZaheG3GDJhaSYzoYChNVYu1tFAQoyIEWTjxUBEUIPa9hPiMrIcZTh5Ix_geKxGenl7HCGAHX4-7NIdxEd96HUsmrRwdMH5HuY5hmytSh0s3ZLD8_XQIGtSTaWarQoFYbjZtpLjOuKWnKAwrLegRxRMdVBj9zyP0AuSuQ4bAigilpxYY4Ac2xfGoQy-CMXzJ1bsOxDYidLrZ7Q98hHmVFDNAgQVja2Xw&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=uQas7plFry9UJx3wHrWVtw%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Associate,,,N/A,"About the job
            
 

PurposeResponsible for finding, managing and merging multiple data sources to ensure consistency of datasets.Responsibilities1. Work with business stakeholders to understand their goals and determine how data can be used to achieve these goals.2. Design and creates data modeling processes, algorithms and predictive models to extract and analyze business data insights "
Junior Data Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4203548339/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=XTJFpOoYRvo5IMziYVig%2Bw%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Entry level,"Analyze financial data, performance metrics, and operational KPIs to provide insights into the company's overall health and performance.
Prepare and present reports, variance analysis, and ad hoc data analysis to senior management.
Monitor and track key financial metrics and key performance indicators (KPIs) to assess business performance and identify areas for improvement.
Evaluate and analyze key performance indicators (KPIs) across various business functions to assess operational efficiency and effectiveness.
Develop performance metrics, dashboards, and reports to track progress towards organizational goals and objectives.
Identify trends, patterns, and outliers in performance data to provide actionable insights and recommendations.
Collaborate with stakeholders to define performance targets, benchmarks, and improvement initiatives.
Conduct root cause analysis to understand drivers of performance gaps and recommend corrective actions.
Support business planning processes and strategic decision-making.
Analyze revenue streams, pricing strategies, and sales performance to optimize revenue generation and profitability.
Collaborate with Operations and finance teams to develop Cost saving initiatives
Perform costs reconciliations, variance analysis, and financial reporting to ensure accuracy and compliance.
Evaluate the impact of pricing changes, product launches, and market dynamics on revenue performance.","Bachelor's Degree in Business Informatics, Computer Science, Data Science or any related Field.
Strong analytical skills
0-2 years of experience
Proficiency in data analysis tools (e.g., Excel, SQL, Tableau)
Excellent communication skills to effectively collaborate with cross-functional teams and present findings to stakeholders",N/A,"About the job
            
 

Founded in 2018, MaxAB is a rapidly growing food and grocery B2B e-commerce and distribution platform that serves a network of traditional retailers (mom-and-pop stores) across the MENA region. Using proprietary technology, MaxAB offers a transformative pull-driven supply chain and a tech-product that empowers both traditional retailers and suppliers. MaxAB offers tra"
R&D And Business Intelligence Specialist,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/3891651785/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=g7fr%2FWbfTyUaa9i1119kwQ%3D%3D&trk=flagship3_search_srp_jobs,Remote,Full-time,Mid-Senior level,N/A,"Bachelor's degree in Computer Science, Information Technology, marketing, or a related field
Fresh Grads or 2-4 years of experience in Research, Business Intelligence, AI, or Research Automation
Strong analytical and problem-solving skills
Proven commitment to continuous learning and staying updated with the latest trends and AI/ML technologies
Strong analytical and problem-solving skills
Experience with data warehousing concepts and methodologies
Knowledge of data visualization best practices
Excellent communication and interpersonal skills
Ability to work effectively in a fast-paced, collaborative environment
Experience with cloud platforms (e.g., AWS, Azure) is a plus
Knowledge of programming languages (e.g., Python, R) is a plus",N/A,"About the job
            
 

 Research & Development:
○ Spearheaded groundbreaking R&D initiatives, exploring cutting-edge new technologies.○ Conduct in-depth statistical analysis, data mining, and visualization to fuel informed decision-making. Product Innovation:
○ Drive the creation of new technologies and tech products ready for successful market integration.○ Contribute to the development an"
I&D Analyst- Portfolio,N/A,N/A,Not Available,https://www.linkedin.com/jobs/view/4182048216/?eBP=CwEAAAGWFrRb3_k6iArZ6ufh3u4vwOCasf0GIRGz1LhGEEGG-W6kFbpdr6Ak87vGmyOTimeT1KaWLLa4w7_V_YHYegDzQz6Cyfd2Km_bdNIiEe3GO9K0P6TaUAQxq0Pvd_g9cIcRV4tBbFRQOXNF2ucOAhzsPSqKgiBZkN8zyZkEGB5CAnAkUFpKF1VDEuB21rA3J1pPqJlw9X9Oqh-MkY0lyDv1sMWUA3AqbV9AU5ADDukvzQuinOFPiHvP9blhYNphnSSzn9soMpm7p6tPJxEc0q8F92OjCLfcmlGkuG6YyYdrpmkPfpXiV5eEIOyrisHcRDS_rk7C1hNmhvAQ22MCJCOD2TJM_1Sj0b2z8NMNOJUflu8p7xDLt8yRfreklWz1oE3T_U0sM-puK0U-paU-CzXXZ-nM9Xfm6dW7m8nuyVGLewvcpxTu13X2XwgzEThQsqJDvEml4rOdW_pjWtmr_pjsnehTSl7TA3Km9GwSg-JW_cLZmLBcJCcS2SZGiSWioHiz5JfsoZ0&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=GvZy7OYu3mUCMBbGDs9GqA%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Mid-Senior level,"Generate and deliver comprehensive reports on portfolio performance, including project and program status, resource allocation, and financial metrics.
Analyze portfolio data to identify trends, risks, and opportunities for improvement.
Develop and maintain dashboards and reports that provide insights into portfolio performance and alignment with strategic goals.
Collaborate with demand managers and project managers and other stakeholders to gather and validate portfolio data.
Support strategic decision-making by providing accurate and timely information on portfolio status and performance.
Monitor and assess portfolio performance against key performance indicators and strategic objectives.
Facilitate portfolio reviews and presentations for senior management and governance bodies.
Ensure data accuracy and integrity in portfolio management systems.
Assist in the development and implementation of portfolio reporting standards and best practices.
Provide support and guidance on portfolio reporting tools and methodologies.
Identify and recommend improvements to portfolio reporting processes and tools.
Maintain strong relationships with internal stakeholders to ensure alignment and effective communication of portfolio data.
Support the integration of new technologies and tools for portfolio reporting and analysis.
Ensure compliance with reporting standards and organizational policies.","Skills:
Proficiency in portfolio reporting tools and software.
Strong data analysis and reporting skills.
Excellent communication and presentation abilities.
Knowledge of portfolio management standards and methodologies.
Ability to generate insightful reports and dashboards.
Effective stakeholder management and collaboration skills.",N/A,"About the job
            
 

Envision Employment Solutions is currently looking for an I&D Analyst- Portfolio for one of our partners, a global leader in the chemical industry field.Job Summary:The Portfolio Analyst plays a crucial role in managing and reporting on the performance of a diverse portfolio of projects and programs. The role requires an understanding of strategic alignment and the ab"
Senior Data Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4187161142/?eBP=CwEAAAGWFrRb39QdsuqbA9pSngG54B47LuNqg5Rq2IEYuQ07EQ9GsRsjPZvlQ1qggQ_DXAuOz6Lpaagd2hKqOx-lcqt7XlQ22XZ2OahJwpahlAniL3N-XzGNIeZBJUKK4wsV6Hx2Qq7hUvP_h32zHLuYp_mM074-lqpyFY62VnWKfuCryItQTct4ZIVMmKtI4wgN9WybUe3Mjz1Vw4Ghf4GFZ890FR2R8SDi1iGsJjWoka3HZvwIGLW2AISpxXBUxX7tpXW5TlqgjTa5r6uNRWu-FO7sz0WIx7EeeVEwpihpl7egri3y4_KWTPGXyadtJo4z8RDL8KsnFeu7B6txpUdcDw0C517gbj8THrOnzCR0vjIgl1abj1_fMsw2ZIHnlZSouMWXfcqNbhDgReNDBB1OcmCJB0ZcyRZZRZ3rMRo6RSaMqty8-i6wBVsoQ2MxlB6wG36T6iGGIAByGDjPAzZ3hjtDgEVhaaydDGXQsHWGFqH1VRoVFjkztcZ0mj9m56VBe_Hmruuj1yWzkzTh7jU&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=IqTu4hTeUPpbyy1PT3fTfA%3D%3D&trk=flagship3_search_srp_jobs,Hybrid,Full-time,Mid-Senior level,N/A,"Proven experience as a data analyst, preferably in a product-focused environment.
Adept at various technologies
Proven abilities to take initiative and be innovative
Strong communication skills to convey technical concepts to both technical and non-technical stakeholders.
Detail-oriented with a keen analytical mindset.
Strong ability to work in a team
Time management",N/A,"About the job
            
 

Orange Business is a network and digital integrator that understands the entire value chain of the digital world, freeing our customers to focus on the strategic initiatives that shape their business. Every day, you will collaborate with a team dedicated to providing consistent, sustainable global solutions, no matter where our customers operate. With over 30,000 empl"
Business Intelligence Specialist,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4137734217/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=0kROesbaOr2CHgNm4GPcsg%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Mid-Senior level,"As a key person responsible for making value out of data, Senior Business Intelligence Specialist responsible for using cutting-edge data analysis tools such as Tableau and MS Power BI to generate follow-up dashboards, graphs and reports for executives and stakeholders
Enhancing data collection procedures, in coordination with data engineers, to include any required data that is relevant to MTS analytic system
Processing, cleansing, and verifying the integrity of data used for analysis
Generating ad-hoc analysis and presenting results in a clear manner as and when needed
Creating automated data anomaly detection applications and constant tracking of its outcomes and performance
Reports directly to BI department manager
Supervise the Junior Data Scientist","Work Experience 2+ years in the field of information and business intelligence systems
Bachelor (B.Sc.) in Computer Science, Information Systems or equivalent field from a recognized national or international university
Experience with common data science toolkits (e.g. Python, NumPy…etc.) is a plus
Experience with NoSQL databases (e.g. MongoDB, Cassandra) is a plus
Experience with data visualization concepts and tools
Excellent understanding of data mart schemas, OLAP tools
Proficiency in using query languages such as SQL
Great communication skills
Good applied statistics skills, such as distributions, statistical testing, regression, etc
Data-oriented personality",N/A,"About the job
            
 

Responsibilities: As a key person responsible for making value out of data, Senior Business Intelligence Specialist responsible for using cutting-edge data analysis tools such as Tableau and MS Power BI to generate follow-up dashboards, graphs and reports for executives and stakeholdersEnhancing data collection procedures, in coordination with data engineers, to inclu"
Data Analyst,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4191716811/?eBP=CwEAAAGWFrRb31rIb4fDumk0oYbYjjG_LRstJwsWMYd4sbAStmNLGJIG1WqHoSAKiIEabMdqH-sPtF1oEDkJF5E88j-41SMc7TVu9K6ofZrVis94oyN07h8pxLymRO6auDOc72R_DUDluke86viN7WlKNx87sT3M6wTQyJoZjoIOB1hEPgrLUCK-GD6NMDSUcQx-h41PDWMGZqd9LgdpAnQTvKH_7D3HZt-Uc_vA-Excc8a-0l_wYtcRIk9G1vwsGajuAvKqnhRAxwmop9rQkDOE4hbN5TXG0J8ugOrLbyGf1sdizOxnjTbMiGsyfAQ5ycc7fHv6msb3kv2cTrSP-ZKw-qJy3-BrEJmEzvIvIMnGofRnKwLJlVHd-fgutZcUM7I3AheCKJ0ELAZCBb8SOJsUEF6xPXsLy0uXIVmCcIbUyTx9tjKrgOMKvOssdY6tap3xVhPuHOjcGmQ-_18QGQlJLO71xWOCsJXocGtfVmgH&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=UXO4sOOxXhaCCoDoXxuLHA%3D%3D&trk=flagship3_search_srp_jobs,On-site,Full-time,Mid-Senior level,"Lead the business intelligence unit;
Access data, construct and manipulate large datasets to support planned analyses using SQL, Python and similar tools;
Design and develop BI dashboards using Sisense or similar tools (Tableau, PowerBI, DataStudio) for various organisational metrics and indicators using best practices and industry standards in finance, sales, inventory, and other areas;
Help with defining KPIs metrics and drive the data governance through standardisation and communication;
Create the documentation and presentation for the management;
Develop analysis and reporting capabilities; monitor performance and quality control plans to identify improvements;
Adept at queries, report writing and presenting findings;
Research and validation of entity data using appropriate internal and external data sources;
Liaise and analyse projects within the Reference Data environment;
Analyse, specify, test and implement interfaces, workflow solutions, and reference data solutions - An example would be regression testing systems ahead of upgrades;
Participate in the design, implementation and interpretation of experiments/trials for continuous refinement of ongoing strategies;
Responsible for data quality and timely delivery of reports that make common business sense;
Participate in Analytics & Reporting trainings to evangelise data across the organisation;
Be able to work autonomously without supervision","Bachelor's degree in statistics, mathematics, computer science, or related field;
Master's degree is a plus
2+ years of work experience in analytics, having closely worked with products and commercials in an internet/e-commerce company;
Experience in e-commerce, internet and/or digital media
Extensive experience with SQL;
Proficient in Microsoft Excel;
Experience working with BI tools (e.g. Looker, Periscope, Tableau, etc.);
Skills in Python, R or similar tools are a big plus;
Knowledge of statistics and experience using statistical packages for analysing datasets (Excel, SPSS, SAS etc)","A fast paced, high performing team
Comprehensive Health Insurance
Life Insurance
Rewards & Recognitions
Learning & Development opportunities","About the job
            
 

Dubizzle Egypt is the leading marketplace for selling and buying online in the region. Our aim is to upgrade people's lives by facilitating deals and identifying attractive opportunities for both individuals and businesses. Our goal is to strengthen local economies, empower small businesses, and help everyone in making smarter choices for themselves, the market, and t"
Growth Web Analytics Intern,N/A,N/A,Easy Apply,https://www.linkedin.com/jobs/view/4202392621/?eBP=BUDGET_EXHAUSTED_JOB&refId=GX29L4gGVZmxlgSOPY%2B1EQ%3D%3D&trackingId=Aiw8AIsDiqM%2BFO0snHwE6g%3D%3D&trk=flagship3_search_srp_jobs,Remote,Internship,Internship,N/A,N/A,"Flex Work Environment: Hybrid at HQ and remote globally
Recharge Anytime: Unlimited PTO Plan
Level Up: Mentorship & Career Growth Support
Always Be Learning: Access to Top-tier Resources & Industry Experts
Work Hard, Play Harder: Quarterly Team Trips (Onsite and Offsite)
Fuel Your Day: Free Lunch, Snacks, Cold Brew, & Happy Hours
Grow With US: Endless Opportunities to Lead & Succeed
Keep on Shining: Ongoing Employee Development Programs","About the job
            
 

We Are:NoGood is an award-winning, tech-enabled growth consultancy that has fueled the success of some of the most iconic brands.We are a team of growth leads, creatives, engineers and data scientists who help unlock rapid measurable growth for some of the world's category-defining brands. We bring together the art and science of strategy, creative, content and growth"
